pos,name,country,venue,year,result,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500
9,Shannon ROWBURY,USA,prefontaine dl,2017,4:04.61,nan,nan,49.02,nan,nan,nan,1:57.27 ,nan,nan,nan,3:01.19 ,nan,nan,nan,4:04.61
10,Sofia ENNAOUI,POL,prefontaine dl,2017,4:05.74,nan,nan,49.4,nan,nan,nan,1:57.31 ,nan,nan,nan,3:01.98 ,nan,nan,nan,4:05.74
11,Shelby HOULIHAN,USA,prefontaine dl,2017,4:06.43,nan,nan,49.71,nan,nan,nan,1:57.77 ,nan,nan,nan,3:02.42 ,nan,nan,nan,4:06.43
1,Shelby HOULIHAN,USA,prefontaine dl,2018,03:59.06,nan,nan,48.30 ,nan,nan,nan,1:54.33 ,nan,nan,nan,2:59.20 ,nan,nan,nan,03:59.06
2,Laura MUIR,GBR,prefontaine dl,2018,03:59.30,nan,nan,48.08 ,nan,nan,nan,1:53.46 ,nan,nan,nan,2:58.68 ,nan,nan,nan,03:59.30
3,Jenny SIMPSON,USA,prefontaine dl,2018,03:59.37,nan,nan,47.11 ,nan,nan,nan,1:52.33 ,nan,nan,nan,2:58.05 ,nan,nan,nan,03:59.37
4,Rababe ARAFI,MOR,prefontaine dl,2018,03:59.51,nan,nan,47.40 ,nan,nan,nan,1:52.70 ,nan,nan,nan,2:58.25 ,nan,nan,nan,03:59.51
5,Winny CHEBET,KEN,prefontaine dl,2018,04:00.60,nan,nan,47.64 ,nan,nan,nan,1:53.36 ,nan,nan,nan,2:58.95 ,nan,nan,nan,04:00.60
6,Linden HALL,AUS,prefontaine dl,2018,04:00.86,nan,nan,47.88 ,nan,nan,nan,1:53.21 ,nan,nan,nan,2:58.65 ,nan,nan,nan,04:00.86
7,Brenda MARTINEZ,USA,prefontaine dl,2018,04:02.65,nan,nan,47.69 ,nan,nan,nan,1:52.52 ,nan,nan,nan,2:58.44 ,nan,nan,nan,04:02.65
8,Dawit SEYAUM,ETH,prefontaine dl,2018,04:02.81,nan,nan,48.53 ,nan,nan,nan,1:53.77 ,nan,nan,nan,2:59.31 ,nan,nan,nan,04:02.81
9,Beatrice CHEPKOECH,KEN,prefontaine dl,2018,04:05.36,nan,nan,47.21 ,nan,nan,nan,1:52.99 ,nan,nan,nan,2:58.43 ,nan,nan,nan,04:05.36
